<'algoritmo','algoritmo'>
<'declare','declare'>
<'i',IDENT>
<',',','>
<'termo',IDENT>
<',',','>
<'baseFatorial',IDENT>
<',',','>
<'fatorial',IDENT>
<',',','>
<'numeroTermos',IDENT>
<':',':'>
<'inteiro','inteiro'>
<'declare','declare'>
<'cosseno',IDENT>
<',',','>
<'angulo',IDENT>
<':',':'>
<'real','real'>
<'leia','leia'>
<'(','('>
<'angulo',IDENT>
<',',','>
<'numeroTermos',IDENT>
<')',')'>
<'cosseno',IDENT>
<'<-','<-'>
<'0',NUM_REAL>
<'baseFatorial',IDENT>
<'<-','<-'>
<'1',NUM_REAL>
<'fatorial',IDENT>
<'<-','<-'>
<'1',NUM_REAL>
<'termo',IDENT>
<'<-','<-'>
<'1',NUM_REAL>
<'para',IDENT>
<'i',IDENT>
<'<-','<-'>
<'1',NUM_REAL>
<'ate',IDENT>
<'numeroTermos',IDENT>
<'faca','faca'>
<'se','se'>
<'i',IDENT>
<'%','%'>
<'2',NUM_REAL>
<'=','='>
<'1',NUM_REAL>
<'entao','entao'>
<'cosseno',IDENT>
<'<-','<-'>
<'cosseno',IDENT>
<'+','+'>
<'termo',IDENT>
<'senao','senao'>
<'cosseno',IDENT>
<'<-','<-'>
<'cosseno',IDENT>
<'-','-'>
<'termo',IDENT>
<'fim_se','fim_se'>
<'fatorial',IDENT>
<'<-','<-'>
<'fatorial',IDENT>
<'*','*'>
<'baseFatorial',IDENT>
<'*','*'>
<'(','('>
<'baseFatorial',IDENT>
<'+','+'>
<'1',NUM_REAL>
<')',')'>
<'baseFatorial',IDENT>
<'<-','<-'>
<'baseFatorial',IDENT>
<'+','+'>
<'2',NUM_REAL>
<'termo',IDENT>
<'<-','<-'>
<'pot',IDENT>
<'(','('>
<'x',IDENT>
<',',','>
<'i',IDENT>
<'+','+'>
<'1',NUM_REAL>
<')',')'>
<'/','/'>
<'fatorial',IDENT>
<'fim',IDENT>
<'_para',IDENT>
<'escreva','escreva'>
<'(','('>
<'"cos("',CADEIA>
<',',','>
<'angulo',IDENT>
<',',','>
<'") = "',CADEIA>
<',',','>
<'cosseno',IDENT>
<')',')'>
<'fim_algoritmo','fim_algoritmo'>
